Player,Tm,PTS,TRB,AST,Date
Anthony Davis,LAL,38,11,2,2024-11-01
Nikola Vučević,CHI,28,11,3,2024-11-01
Zion Williamson,NOP,34,6,10,2024-11-01
Nikola Jokić,DEN,26,9,13,2024-11-01
Aaron Gordon,DEN,31,11,2,2024-11-01
Jalen Brunson,NYK,36,1,5,2024-11-01
RJ Barrett,TOR,33,5,12,2024-11-01
LeBron James,LAL,27,6,10,2024-11-01
Shai Gilgeous-Alexander,OKC,30,7,6,2024-11-01
Jayson Tatum,BOS,32,11,3,2024-11-01
Jalen Suggs,ORL,28,8,7,2024-11-01
De'Aaron Fox,SAC,31,7,3,2024-11-01
DeMar DeRozan,SAC,27,8,2,2024-11-01
Gradey Dick,TOR,31,7,3,2024-11-01
OG Anunoby,NYK,21,4,6,2024-11-01
Jakob Poeltl,TOR,19,12,6,2024-11-01
Karl-Anthony Towns,NYK,21,11,7,2024-11-01
Jalen Williams,OKC,22,5,4,2024-11-01
Cam Thomas,BRK,32,0,4,2024-11-01
Michael Porter,DEN,26,6,4,2024-11-01
Anthony Edwards,MIN,29,4,4,2024-11-01
Jaylen Brown,BOS,25,6,5,2024-11-01
Julius Randle,MIN,23,6,7,2024-11-01
Rudy Gobert,MIN,17,14,3,2024-11-01
Brandon Ingram,NOP,26,6,7,2024-11-01
Garrison Mathews,ATL,23,1,2,2024-11-01
Cade Cunningham,DET,22,6,6,2024-11-01
Darius Garland,CLE,25,3,4,2024-11-01
Trae Young,ATL,25,5,12,2024-11-01
Tre Mann,CHO,23,4,5,2024-11-01
Austin Reaves,LAL,20,1,6,2024-11-01
Mikal Bridges,NYK,15,7,3,2024-11-01
LaMelo Ball,CHO,31,2,4,2024-11-01
Tristan Da Silva,ORL,17,5,2,2024-11-01
Ben Sheppard,IND,20,3,1,2024-11-01
Jordan Hawkins,NOP,23,4,1,2024-11-01
Clint Capela,ATL,15,10,1,2024-11-01
Cameron Johnson,BRK,14,6,5,2024-11-01
D'Angelo Russell,LAL,19,3,6,2024-11-01
Josh Hart,NYK,13,9,4,2024-11-01
Naz Reid,MIN,16,3,2,2024-11-01
Jalen Johnson,ATL,14,5,9,2024-11-01
Donovan Mitchell,CLE,22,3,1,2024-11-01
Coby White,CHI,21,4,4,2024-11-01
Tobias Harris,DET,13,8,3,2024-11-01
Domantas Sabonis,SAC,15,14,6,2024-11-01
Bennedict Mathurin,IND,19,6,3,2024-11-01
Ben Simmons,BRK,8,8,11,2024-11-01
Brandon Boston,NOP,14,2,2,2024-11-01
Cason Wallace,OKC,13,1,3,2024-11-01
Jose Alvarado,NOP,12,6,7,2024-11-01
Evan Mobley,CLE,14,12,3,2024-11-01
Pascal Siakam,IND,16,5,6,2024-11-01
Aaron Wiggins,OKC,13,8,2,2024-11-01
Nic Claxton,BRK,12,9,2,2024-11-01
Deandre Ayton,POR,14,5,2,2024-11-01
Keegan Murray,SAC,14,10,3,2024-11-01
Keon Johnson,BRK,12,3,1,2024-11-01
Keon Ellis,SAC,12,1,2,2024-11-01
Jerami Grant,POR,17,3,2,2024-11-01
Derrick White,BOS,17,2,5,2024-11-01
Zach LaVine,CHI,21,1,2,2024-11-01
Keaton Wallace,ATL,14,3,3,2024-11-01
Tyrese Haliburton,IND,11,2,11,2024-11-01
Nickeil Alexander-Walker,MIN,8,2,5,2024-11-01
Onyeka Okongwu,ATL,11,4,1,2024-11-01
T.J. McConnell,IND,10,3,9,2024-11-01
Neemias Queta,BOS,12,6,1,2024-11-01
Toumani Camara,POR,13,3,2,2024-11-01
Luguentz Dort,OKC,8,5,2,2024-11-01
Rayan Rupert,POR,14,2,0,2024-11-01
Aaron Nesmith,IND,12,1,1,2024-11-01
Dennis Schröder,BRK,9,7,7,2024-11-01
Moritz Wagner,ORL,14,5,0,2024-11-01
Jrue Holiday,BOS,14,5,1,2024-11-01
Tidjane Salaün,CHO,9,6,1,2024-11-01
Payton Pritchard,BOS,7,2,3,2024-11-01
Dalano Banton,POR,11,0,3,2024-11-01
Franz Wagner,ORL,17,8,6,2024-11-01
Caris LeVert,CLE,13,3,7,2024-11-01
Ty Jerome,CLE,9,6,2,2024-11-01
Christian Braun,DEN,14,7,2,2024-11-01
Noah Clowney,BRK,7,4,1,2024-11-01
Luke Kornet,BOS,5,4,1,2024-11-01
Miles McBride,NYK,10,3,2,2024-11-01
Moussa Diabaté,CHO,7,7,1,2024-11-01
Javonte Green,NOP,7,4,0,2024-11-01
Miles Bridges,CHO,14,7,3,2024-11-01
Ousmane Dieng,OKC,11,3,2,2024-11-01
Isaiah Joe,OKC,12,5,2,2024-11-01
Simone Fontecchio,DET,12,4,0,2024-11-01
Malik Monk,SAC,9,4,6,2024-11-01
Anfernee Simons,POR,9,4,6,2024-11-01
Max Christie,LAL,7,5,1,2024-11-01
Isaiah Jackson,IND,6,8,1,2024-11-01
Jonathan Mogbo,TOR,6,6,3,2024-11-01
Dorian Finney-Smith,BRK,9,5,0,2024-11-01
Chet Holmgren,OKC,6,1,3,2024-11-01
Donte DiVincenzo,MIN,7,8,6,2024-11-01
Sam Hauser,BOS,6,5,2,2024-11-01
Jaxson Hayes,LAL,4,6,0,2024-11-01
Jett Howard,ORL,9,3,0,2024-11-01
David Roddy,ATL,8,8,2,2024-11-01
Luke Travers,CLE,4,2,2,2024-11-01
Ziaire Williams,BRK,10,3,0,2024-11-01
Seth Curry,CHO,8,2,0,2024-11-01
Yves Missi,NOP,4,10,0,2024-11-01
