Player,Tm,PTS,TRB,AST,Date
Jayson Tatum,BOS,37,4,10,2024-10-22
Anthony Davis,LAL,36,16,4,2024-10-22
Derrick White,BOS,24,3,4,2024-10-22
Jrue Holiday,BOS,18,4,4,2024-10-22
Miles McBride,NYK,22,0,2,2024-10-22
Rui Hachimura,LAL,18,5,1,2024-10-22
Jaylen Brown,BOS,23,7,1,2024-10-22
Rudy Gobert,MIN,13,14,2,2024-10-22
Julius Randle,MIN,16,9,4,2024-10-22
Al Horford,BOS,11,3,5,2024-10-22
Jalen Brunson,NYK,22,1,2,2024-10-22
Anthony Edwards,MIN,27,6,3,2024-10-22
Karl-Anthony Towns,NYK,12,7,3,2024-10-22
Austin Reaves,LAL,12,9,4,2024-10-22
Josh Hart,NYK,12,4,3,2024-10-22
Nickeil Alexander-Walker,MIN,14,5,0,2024-10-22
LeBron James,LAL,16,5,4,2024-10-22
Jaxson Hayes,LAL,10,4,0,2024-10-22
Mikal Bridges,NYK,16,0,2,2024-10-22
Cameron Payne,NYK,11,3,4,2024-10-22
Naz Reid,MIN,12,4,1,2024-10-22
Jericho Sims,NYK,4,9,1,2024-10-22
Luke Kornet,BOS,4,3,1,2024-10-22
Sam Hauser,BOS,10,5,1,2024-10-22
Donte DiVincenzo,MIN,10,3,3,2024-10-22
D'Angelo Russell,LAL,9,1,5,2024-10-22
Dalton Knecht,LAL,5,1,2,2024-10-22
OG Anunoby,NYK,4,5,3,2024-10-22
Xavier Tillman,BOS,2,7,2,2024-10-22
Ariel Hukporti,NYK,0,4,0,2024-10-22
Mike Conley,MIN,5,4,2,2024-10-22
Pacome Dadiet,NYK,3,1,0,2024-10-22
Jaden McDaniels,MIN,6,2,1,2024-10-22
Gabe Vincent,LAL,2,2,2,2024-10-22
Tyler Kolek,NYK,3,0,0,2024-10-22
Jordan Walsh,BOS,0,0,1,2024-10-22
Joe Ingles,MIN,0,0,1,2024-10-22
Neemias Queta,BOS,0,0,0,2024-10-22
Bronny James,LAL,0,1,0,2024-10-22
Jacob Toppin,NYK,0,0,0,2024-10-22
Payton Pritchard,BOS,3,4,4,2024-10-22
Max Christie,LAL,2,2,0,2024-10-22
LaMelo Ball,CHO,34,8,11,2024-10-23
Lauri Markkanen,UTA,35,9,2,2024-10-23
Trae Young,ATL,30,5,12,2024-10-23
Paolo Banchero,ORL,33,11,3,2024-10-23
Onyeka Okongwu,ATL,28,8,1,2024-10-23
